gene_name,NC,NC1,NC2,A,A1,A2
CTD-2588J6.1,0,0.0313427,0,0.0373324,0,0.0633191
RP11-433M22.1,0,0,0,0,0,0
CTD-2588J6.2,0,0,0,0,0,0
RP13-100A9.2,0,0,0,0,0,0
RP3-415N12.1,0.1256,0.0660851,0,0.0796429,0,0.0670563
PSMA2P2,0,0,0,0,0,0
RP11-433M22.2,0,0,0.0600654,0,0,0
PSMA2P3,0,0.0630046,0,0,0,0
RP11-181G12.4,0,0,0,0,0.288484,0
RP11-181G12.5,31.7859,26.9535,26.5676,21.8664,20.9789,21.2324
AC007272.1,0,0,0,0,0,0
RP11-181G12.2,31.7859,26.9535,26.5676,21.8664,20.9789,21.2324
AC007272.3,0.24125,0.0856553,0,0.10393,0,0
PSMA2P1,0,0,0,0.162359,0,0.0682193
CPHL1P,0.044141,0.185806,0.0906647,0.126946,0.292346,0.178637
SSXP10,0,0,0,0.100838,0,0
AIMP1P2,0,0,0,0,0,0
XXbac-BPGBPG55C20.2,2.75127,3.79711,6.02416,1.82782,1.46982,2.95973
RP1-20N18.4,0,0,0,0,0,0.329542
TCOF1,8.2042,8.0022,8.63339,4.75872,5.27726,4.85218
NSRP1,20.4416,23.7547,24.7316,12.7156,14.4397,13.9297
RP5-1000K24.2,1.397,1.90391,1.58412,4.05286,4.26393,3.83488
SPPL3,45.5506,49.222,56.2452,51.6423,58.479,56.9513
AF001548.5,50.3432,49.7112,52.0041,28.0762,27.1595,32.246
AIG1,75.0208,73.0682,84.1241,53.363,69.0959,57.02
AP000867.14,0,0,0,0,0,0
RNU5B-1,0,0,0,0,0,0
OPA1,37.3587,33.9667,36.6203,37.1027,33.0708,33.5718
C16orf11,0,0.0285956,0.0142369,0,0,0
RP1-278O22.1,0.322763,0.271817,0.412102,0.491823,0.68349,1.23979
AC090587.5,0,0.418834,0.320294,0.128023,0.117407,0.106673
RP11-190A12.7,0.28088,0.445305,0.617839,1.04511,0.612343,0.834211
RP11-489D6.2,0,0,0,0,0,0
AC090587.2,22.6787,21.0834,23.0514,19.9985,21.7513,19.0921
RP11-666A8.7,1.05095,1.1612,0.628532,1.16968,0.9777,0.675509
RP11-666A8.8,18.1661,15.6483,17.5235,14.5791,15.111,10.5515
AL359853.1,0,0,0,0,0,0
RP11-190A12.8,0,0,0,0.067222,0,0.0566537
RNU4ATAC18P,0.0320855,0.0653704,0.0163234,0.290417,0.108723,0.131854
AC073127.1,0,0,0,0,0,0
RP11-416A14.1,0,0.12656800000000001,0,0,0,0
REREP1Y,0,0,0,0,0,0
RP11-626A1.1,0,0,0,0,0,0
RP11-61E11.2,0.19399,0,0,0.0821705,0,0
RP11-61E11.1,2.34648,2.12959,3.33246,0,0.403658,0
ITGA8,0,0,0,0,0,0
ITGA9,0.113127,0.13702,0.15512599999999999,0.230048,0.159835,0.256959
RP3-499B10.3,0,0,0,0,0,0
RP11-146D12.2,0.0343534,0.284394,0.00633603,0.105618,0.0755374,0.142682
ITGA1,9.77595,9.29077,9.8253,5.22383,5.5591,6.12476
ITGA2,33.3841,32.0329,32.5066,25.9977,23.9915,24.1182
ITGA3,265.895,250.504,256.242,240.761,227.319,253.955
ITGA4,0.0851509,0.191516,0.109861,0.29055,0.285605,0.156693
ITGA5,59.7653,62.3222,59.4193,38.6873,40.2546,44.6286
ITGA6,190.252,209.847,203.741,122.09,127.648,133.491
ITGA7,0.232702,0.231913,0.107111,0.474933,0.526597,0.207316
TRHR,0.0233462,0.0239021,0,0,0,0
AC010468.3,0,0,0,0,0,0
AL035681.1,0,0,0,0,0,0
AC010468.1,0.138345,0.239778,0.289147,0.0574488,0,0.0970304
RP11-428L21.2,0,0,0,0,0,0
CA15P1,0,0,0,0,0,0.0844672
CA15P2,0,0,0,0,0.0483251,0
UFSP1,1.21677,1.58887,1.33275,0.837844,0.903947,0.746921
UFSP2,11.4767,11.1598,11.0174,8.11511,9.71023,8.41083
RP11-566K19.4,0,0,0,0,0,0
RP11-566K19.5,0,0,0,0,0,0.00772734
RP11-566K19.6,6.06525,5.96931,6.63043,6.75081,6.01088,6.50659
RP11-566K19.3,0,0,0,0,0,0
SNX18P13,0,0.185713,0,0.338754,0,0.282929
RP11-566K19.8,0,0,0,0,0,0
RP11-566K19.9,0,0,0,0,0,0
AP002348.1,0,0.0104078,0,0,0,0
RP1-200K18.1,0,0,0,0,0,0
RP11-379H18.1,2.54749,2.20703,2.47112,2.71705,2.7385100000000002,2.78725
TEX28P2,0,0,0,0,0,0
TEX28P1,0,0,0,0,0,0
FAM212B,3.3920282,4.1506258,3.2780517,4.37808,3.881389,4.1167478
FAM212A,4.87947,5.12231,4.93769,6.76538,7.34289,6.35923
CHST9,0.215132,0.26713,0.483337,7.95275,6.31631,5.79642
CHST8,0,0.138285,0.0349171,0,0,0
CHST1,3.56594,3.71838,3.15651,3.78288,4.1351,3.53068
RP11-155G15.3,0,0,0,0,0,0
CHST3,5.78089,6.67413,6.72011,12.8295,11.6495,11.9366
CHST2,1.54918,1.29415,1.32097,0.193736,0.468404,0.33047
CHST5,17.187,14.5241,15.0098,5.81003,7.25018,8.68195
CHST4,0.0589686,0.0519524,0.0871879,0.368846,0.32243,0.307868
CHST7,2.40824,2.73556,2.39718,2.62147,2.80395,3.08642
CHST6,0.72795,1.81015,2.06943,0.746151,0.877826,0.746228
ITGAX,0.0904508,0.0068512,0.0136174,0,0,0.00690473
RPS4XP3,0,0,0,0,0,0
RPS4XP1,0,0.0505051,0,0,0.056254,0.0511065
RPS4XP6,0.0930166,0.0537977,0.0478291,0.276399,0.0552684,0.0904696
SLC25A24P1,0,0,0,0,0,0
RPS4XP4,0,0,0,0,0,0
BCL2A1,1.0477,1.33654,0.887032,0.419569,0.1955,0.746346
RPS4XP8,0,0,0,0,0,0
RPS4XP9,0,0,0,0,0,0
RNU4-76P,0,0,0,0,0,0
ITGAV,69.6294,63.1016,63.9525,78.7993,71.3236,72.5649
RP11-379L18.1,0,0,0,0,0,0
AC004448.5,0,0,0,0.0743598,0,0
ITGAL,0.00564533,0,0.038534,0.00756234,0,0.0388602
ITGAM,0.0866173,0.0338046,0.165553,0.0998492,0.0421364,0.0761317
AC004448.2,0,0,0,0.116392,0,0
ITGAD,0,0,0,0,0,0
ITGAE,16.1543,15.3854,12.8285,9.99506,10.0566,8.74796
ZNF7,8.10958,8.04262,8.38836,6.80064,6.0229799999999996,5.76674
CITF22-24E5.1,0,0,0,0,0,0
AC084149.1,0,0,0,0,0,0
AC084149.2,0,0,0,0,0,0
RP1-45N11.1,0,0,0,0,0,0
ATP1B3-AS1,0,0,0.560578,3.79596,0.815391,1.29168
RNY4P5,0,0,0,0,0,0
AC242426.1,0,0,0,0,0,0
SEPHS1P6,0.0289973,0,0.0298006,0,0,0.0300993
IGF2R,45.4564,43.6132,40.5733,43.6042,38.2248,38.1991
CTD-2587H24.5,1.65512,1.40052,1.81869,0.0238083,0.0701294,0.392344
CTD-2587H24.4,0.305091,0.842806,0.620485,0.206471,0.63273,0.271256
RP11-54J7.2,0,0,0,0,0,0
SLC36A4,4.22434,5.33538,5.02756,3.77828,1.98827,4.08653
SLC36A3,0.0376678,0,0.00849526,0,0,0.0214812
RP4-597J3.1,0,0,0,0,0,0
SLC36A1,2.7988,2.94073,3.01113,3.22876,2.89348,3.17465
RP11-562M8.4,0,0,0,0,0,0
AC114973.1,0,0,0,0,0,0
RP11-45O22.1,0,0,0,0,0,0
RP11-317B17.3,0.10414,0,0,0.275876,0.12656,0
RPL31P13,0,0,0,0,0,0
ARTN,91.5512,90.4152,78.2493,37.4626,31.6411,35.7994
ART1,0,0,0,0,0,0
ART3,0.393384,0.40676,0.678433,0.793111,0.993464,1.00662
ART5,0,0,0,0,0,0.0309092
ART4,0.00574161,0.00580881,0,0.0565564,0,0
CTA-246H3.8,0,0,0,0,0,0
AC007040.7,13.8169,15.172,17.2928,23.0161,21.2662,21.4892
AC009120.4,0.259646,0.0457945,0,0,0,0.146022
AC129492.1,0,0,0,0,0,0
CELSR3,0.632393,0.57249,0.617976,0.656449,0.734405,0.581304
AC129492.6,0.5309,0.702552,0.646766,0.0645073,0.059978,0.0363657
CRTAM,0.076194,0.0167022,0.0744315,0,0,0
RP11-170L9.1,0,0,0,0,0,0
POU4F2,0,0,0,0,0,0
DPYD-IT1,0,0.157005,0,0,0,0
CTA-339C12.1,0,0.0713489,0,0.172573,0,0
RLF,4.8762,6.22089,6.24377,5.16294,5.52648,5.47306
RP1-15D7.1,0,0,0,0,0,0
RNU6-590P,0,0,0,0,0,0
CTD-3116E22.7,0.142665,0,0,0.365191,0.0843444,0
CTD-3116E22.6,0.0362911,0.0374851,0.0375617,0.0447433,0,0.0378857
MTHFD2P3,0,0,0,0,0,0
CRTAP,95.2478,72.7343,73.741,94.2721,97.2165,87.2166
RP11-85D18.1,0,0,0,0,0,0
HAUS5,2.59264,2.64759,2.94206,1.76051,2.44904,2.71689
RP4-697P8.3,0,0,0.0159565,0,0,0
RP11-841C19.1,0,0,0,0,0,0
AC007040.1,0,0,0,0,0,0
RP11-841C19.3,0,0,0,0,0,0
RP11-841C19.4,0,0,0,0,0,0
CPEB3,1.47814,1.94735,1.71771,2.35301,2.62673,2.418
CPEB2,12.0138433,14.088254,12.2063697,15.659019,12.6014523,13.0141439
SRBD1,5.15045,5.05816,4.80099,4.62181,5.20482,5.2626
ABAT,2.44398,2.65394,2.59749,3.17196,3.90258,4.44341
AP001877.1,0.68775,0.263055,0.398558,0.713446,0.587097,0.133363
RP11-418B12.1,0,0,0,0,0,0
CTD-3065B20.3,0.0468796,0,0.147081,0.0584487,0,0
CTD-3065B20.2,0.10414,0,0,0.275876,0,0
AP000568.2,0,0,0,0,0,0
RP11-795J1.2,0,0,0,0,0,0
RP11-795J1.1,0,0,0,0,0,0
POU5F1B,2.61726,1.15181,0.752265,0.124246,0.608139,0.550054
SP1,21.2601,22.2338,21.1738,17.5672,17.4016,16.6474
GDNF-AS1,0.0162781,0.0729062,0.0105378,0.121609,0.193665,0.038091
RNU7-189P,0,0,0,0,0,0
BX936375.1,0,0,0,0,0,0
AC006482.1,0,0,0,0,0,0
RP3-322L4.2,0,0,0,0,0,0.532536
RP11-342F17.1,0,0,0,0.131675,0.121013,0
AC007040.3,0,0,0,0,0,0
RP11-196O16.1,1.191477,1.4232216,1.614368,3.524776,3.741641,3.661985
RP11-300J18.2,0,0,0,0,0,0
RP11-300J18.1,0,0,0,0,0,0
PHOX2A,0,0.0486221,0,0.0965624,0,0
OR4A44P,0,0,0,0,0,0
PHOX2B,0,0,0,0,0,0
RP1-207H1.3,0,0,0,0,0,0
UPK2,0.870709,1.16961,0.876907,0.813368,1.24171,1.13416
CU442762.4,0,0,0,0,0,0
CFH,37.8271,42.3652,40.9876,61.494,67.5118,66.5502
AF001548.6,0.163138,0.173907,0.441427,0.316714,0.291826,0.0882719
ANKFY1,12.429,15.2063,14.7179,15.8077,16.2881,16.8778
RNU6-347P,0,0,0,0,0,0
CFB,8.36407,12.2147,11.015,5.37109,7.81284,6.46589
TPT1-AS1,15.4767,15.1793,15.0045,6.96873,6.48493,5.85631
DQ-A1,0,0,0,0,0,0
RP1-29C18.10,0,0,0,0,0,0
CTB-174O21.2,1.02556,0.671294,1.44713,1.3227,0.563063,1.02182
OPA3,4.80164,5.01319,5.53048,4.90663,4.50241,4.79399
RP11-509A17.3,0,0,0,0,0,0
AAAS,18.9584,18.187,16.9181,22.2649,24.3414,21.103
RNU6-767P,0,0,0,0,0,0
AJ271736.10,4.67711,4.08896,4.35926,3.35528,3.02081,2.77392
SIDT1,0.89054,1.17432,1.10026,2.02911,1.96192,1.95203
AP003900.6,0,0,0,0,0,0
SIDT2,110.839,63.7364,58.8707,26.3101,23.1766,20.944
RP11-2N1.2,0.620885,2.44108,1.97928,0.645714,0.983024,1.4237899999999999
RP11-702H23.2,0,0,0,0,0,0.231337
RP11-2N1.1,0,0,0,0,0,0
RP11-78O9.1,0,0,0,0,0,0
RP11-702H23.6,0,0,0,0,0,0
AC110792.1,0,0,0,0,0,0
SAGE1,0,0,0,0,0,0
RP11-89K11.1,2.1058500000000002,2.17656,2.05929,2.66224,2.96888,2.44883
AL445258.1,0,0,0,0,0,0
RP3-382I10.2,0,0,0,0,0,0
CYP20A1,8.7881,8.06134,6.80377,6.16004,6.49243,6.15317
RP11-74E24.2,0.101347,0.296163,0.115352,0.167646,0.228403,0.220741
AAGAB,43.6628,37.8435,40.9811,19.0407,20.6631,19.7441
AC093802.1,0,0,0,0.0111737,0,0
C4orf19,0.259658,0.623896,0.427808,0.955067,0.642121,0.942704
AL096700.1,0,0,0,0,0,0
SLC7A6OS,12.5636,12.478,13.1504,17.508,17.1225,16.5154
RP11-128P17.3,0,0,0,0,0,0
RP11-128P17.2,0,0,0,0,0,0
RP11-128P17.1,0,0,0,0,0,0
C4orf17,0.0197431,0,0,0,0.022375,0.0203465
CDH26,5.77218,8.69923,8.67964,7.84586,9.1995,9.7232
EIF3EP2,0,0,0,0,0,0
EIF3EP1,2.52329,2.60929,2.43179,4.79073,4.2531,5.08266
RP11-128P17.4,0,0,0,0,0,0
RNU6-67P,0,0,0,0,0,0
AC090587.4,37.5178,39.9185,40.7904,54.9334,47.1439,46.4659
ECEL1,0,0,0,0,0,0
AL591806.1,0,0,0,0,0,0
RNU6-219P,0,0,0,0,0,0
RP13-941N14.1,0,0,0.179912,0.215136,0.198188,0.269758
IGLVI-38,0,0,0,0,0,0
NBEAP1,0.324828,0.425839,0.411343,0.363921,0.198755,0.176577
