",""GeneID"",""Length"""
1,653635,1769
2,100422834,138
3,645520,1130
4,79501,918
5,729737,3402
6,100507658,793
7,100132287,4370
8,100288646,472
9,729759,939
10,100131754,1019
11,81399,939
12,100287654,472
13,100133331,4273
14,100288069,1371
15,100287934,1194
16,400728,1925
17,79854,1317
18,643837,1543
19,100506327,2478
20,284593,1706
21,284600,3450
22,100130417,496
23,148398,2554
24,26155,2800
25,339451,2560
26,84069,2440
27,84808,3040
28,57801,1040
29,9636,667
30,375790,7319
31,401934,1122
32,54991,2104
33,406984,95
34,406983,90
35,554210,83
36,100506376,3532
37,254173,3130
38,8784,1200
39,7293,1068
40,51150,2138
41,126792,2793
42,388581,1036
43,118424,2437
44,6339,2684
45,116983,3759
46,126789,1240
47,54973,2135
48,80772,2193
49,83756,2559
50,1855,2924
51,54587,2273
52,100506404,993
53,54998,1147
54,81669,3631
55,148413,1748
56,55052,733
57,441869,2018
58,643965,492
59,100288271,805
60,64856,4659
61,219293,3859
62,83858,2433
63,55210,2807
64,339453,1117
65,29101,1303
66,643988,2083
67,142678,3574
68,8510,1240
69,984,2335
70,728661,6003
71,8511,906
72,728642,2628
73,100506482,2086
74,9906,1430
75,65220,3235
76,2782,3128
77,163688,1101
78,339456,958
79,85452,4710
80,2563,1925
81,5590,2789
82,100506504,2247
83,199990,2742
84,100128003,4543
85,6497,5707
86,79906,1641
87,100129534,2248
88,11079,3102
89,5192,2074
90,9651,4837
91,55229,2642
92,388585,1306
93,115110,2209
94,100133445,603
95,8764,1707
96,100506589,697
97,127281,2709
98,79258,2902
99,100287898,1775
100,140625,1422
101,440556,3848
102,63976,8723
103,100422968,61
104,27237,2904
105,1953,7439
106,693135,96
107,127262,2428
108,49856,1699
109,7161,3118
110,100506635,555
111,57212,6455
112,148870,2174
113,388588,546
114,57470,2648
115,9731,6458
116,1677,3028
117,339448,1666
118,100133612,1952
119,728716,559
120,284661,2074
121,55966,3317
122,261734,5002
123,8514,3171
124,26038,9663
125,6146,2085
126,388591,3971
127,23463,4815
128,148645,1265
129,390992,697
130,387509,4082
131,11332,2389
132,100130071,778
133,54626,4262
134,83715,3531
135,100422975,63
136,8718,1916
137,57449,5645
138,79707,6712
139,80835,2795
140,3104,2338
141,9903,4487
142,148479,3670
143,90326,2052
144,55735,3293
145,100505887,466
146,23261,8442
147,100505935,1208
148,100505910,492
149,9341,2205
150,8863,6203
151,10911,755
152,3604,1884
153,11315,961
154,54206,3129
155,50651,2401
156,473,8321
157,100505990,474
158,2023,1812
159,100505975,447
160,765,1339
161,155184,1539
162,6518,3064
163,100302218,84
164,80045,1153
165,407040,110
166,727721,527
167,9563,9117
168,80176,3118
169,100506022,801
170,84275,1461
171,199953,6542
172,5293,5411
173,644997,1823
174,22883,5192
175,645010,662
176,56998,2995
177,84328,1407
178,64802,3781
179,116362,655
180,10277,5905
181,23095,16016
182,100287506,577
183,5226,1937
184,378708,2525
185,1325,935
186,1676,3408
187,5195,1926
188,54897,8526
189,148345,2761
190,23435,4217
191,10747,2600
192,6723,1273
193,5394,2808
194,2475,8725
195,10218,2238
196,29914,3654
197,57540,5214
198,26232,1536
199,93611,3527
200,26270,1551
201,10459,1328
202,374946,1773
203,100506086,3349
204,57085,1280
205,100506273,1320
206,284498,2560
207,100506310,2233
208,100506116,1718
209,4524,7150
210,1185,5654
211,4878,855
212,4879,698
213,26829,119
214,90231,2341
215,5351,3004
216,9927,4677
217,60672,1588
218,943,3736
219,7133,3675
220,55187,16329
221,677885,152
222,9249,1806
223,343066,1575
224,126767,4049
225,93190,1019
226,390999,1786
227,65121,1606
228,440560,1839
229,343069,1108
230,65122,1642
231,400735,1840
232,343071,1518
233,441871,1425
234,440561,1720
235,653606,1446
236,729368,1674
237,441873,1571
238,440563,1156
239,645359,1188
240,401940,2104
241,343068,1855
242,391002,1844
243,343070,1863
244,400736,2164
245,391003,2123
246,654348,1587
247,391001,1508
248,729516,1496
249,653619,1862
250,729528,2100
251,645414,2123
252,391004,1557
253,645425,1597
254,126755,1908
255,10630,2980
256,7799,9583
257,23254,9368
258,200197,6979
259,55092,2238
260,114827,5090
261,79180,2419
262,11330,899
263,63036,920
264,51032,923
265,842,1993
266,23341,6025
267,100507192,354
268,79814,2196
269,645317,513
270,84301,2680
271,6248,1854
272,23207,4122
273,284723,3070
274,388595,1520
275,54751,3773
276,440567,538
277,729614,2732
278,23013,12227
279,7709,2751
280,149563,917
281,27129,2892
282,1187,2536
283,1188,2923
284,348487,1701
285,1969,3964
286,100506484,880
287,128272,3029
288,79363,1560
289,54455,2976
290,26099,3634
291,374955,2015
292,55707,2082
293,114819,5368
294,26871,164
295,100506533,423
296,100133301,510
297,55672,4283
298,84809,1765
299,11209,2636
300,26869,164
301,729574,510
302,284729,2015
303,729587,510
304,6060,164
305,11223,4396
306,100506687,366
307,26870,164
308,9696,6656
309,4237,1176
310,23400,3996
311,6390,1153
312,11240,4363
313,400743,573
314,29943,3847
315,51702,3189
316,23569,2265
317,353238,2347
318,55920,4131
319,55160,4494
320,81569,1672
321,84966,1946
322,127707,5070
323,5081,6313
324,80834,2521
325,8659,3581
326,100302276,78
327,126917,5835
328,23352,15882
329,23065,4238
330,51154,2273
331,246181,2314
332,22977,1241
333,100506730,2490
334,8574,1362
335,54896,2255
336,832,1710
337,644075,2925
338,644083,2336
339,440574,3989
340,4681,2187
341,3362,1984
342,255104,2974
343,54546,1250
344,23252,6515
345,30814,487
346,5320,1032
347,5322,1894
348,26279,2630
349,64600,2719
350,391013,453
351,127733,2972
352,127731,4475
353,339505,3783
354,55450,2351
355,79594,2458
356,163933,2582
357,978,960
358,65018,2660
359,1650,2126
360,57576,3778
361,400745,3834
362,50809,3921
363,8672,6179
364,100302155,119
365,1889,5737
366,100506824,723
367,100506801,2574
368,84224,3766
369,249,2596
370,5909,3596
371,84196,5189
372,401944,4012
373,3339,14186
374,23436,1003
375,10136,907
376,29092,1198
377,998,3155
378,54361,3905
379,9923,8992
380,2046,5411
381,712,1098
382,714,1191
383,713,1044
384,2048,4869
385,100422914,68
386,646262,1554
387,729059,509
388,23028,3107
389,100422866,68
390,7798,8487
391,3352,2835
392,10236,2741
393,80818,4814
394,148898,2869
395,6920,1586
396,55616,4152
397,1870,5192
398,3399,1288
399,259283,1027
400,729856,468
401,6135,609
402,6924,4943
403,100506963,1077
404,57095,1622
405,11313,1624
406,2582,1858
407,3155,1608
408,2517,2122
409,1269,1775
410,55629,2417
411,10772,4991
412,127294,5800
413,58985,2798
414,163702,4549
415,284632,1846
416,57822,3424
417,90529,2501
418,57185,5426
419,11123,1700
420,100506985,2016
421,400746,3902
422,10250,3934
423,25932,4434
424,864,4767
425,25949,1777
426,57035,1465
427,6007,2833
428,23585,2280
429,6006,1618
430,55219,3940
431,26119,2935
432,57134,3201
433,100507013,2224
434,57190,4332
435,56181,2403
436,646471,3653
437,79000,2061
438,164091,3023
439,3925,3602
440,5051,3581
441,2134,4015
442,7780,2473
443,84676,1764
444,149420,4595
445,79927,1524
446,100128346,1468
447,51042,649
448,10256,2536
449,378807,1419
450,64793,3935
451,83442,1115
452,91544,2072
453,1043,505
454,55057,5245
455,257101,1653
456,79727,4014
457,79947,3301
458,3151,1969
459,6195,3383
460,100302190,52
461,8289,8585
462,55650,2365
463,84243,3139
464,2810,1315
465,54707,1510
466,63906,2129
467,8431,1271
468,10726,1327
469,126695,1803
470,646567,456
471,388610,1949
472,115572,2374
473,6548,4572
474,23038,4802
475,84065,1614
476,644961,2652
477,84958,1966
478,9064,4328
479,8547,1032
480,388611,1539
481,2827,2111
482,10163,4270
483,27245,6496
484,2268,2774
485,2537,860
486,199870,3462
487,23673,3079
488,5511,2811
489,677774,166
490,9473,2723
491,6118,1720
492,27293,2271
493,55113,2158
494,2140,2045
495,653566,1624
496,5724,4533
497,22826,1765
498,93974,1911
499,83667,3485
500,54797,1869
501,65979,6492
502,8420,2346
503,1104,3027
504,6080,207
505,26768,158
506,54952,2015
507,85028,739
508,692212,80
509,677838,130
510,677825,132
511,692073,134
512,115273,1343
513,6883,1451
514,26824,135
515,10691,1973
516,51441,3063
517,4985,1774
518,2035,6292
519,399474,2616
520,6429,2530
521,51102,2434
522,10076,5640
523,100288450,411
524,4146,3830
525,100129196,2050
526,7805,2240
527,9672,5121
528,9698,5385
529,692234,88
530,692235,88
531,692200,75
532,28997,570
533,79570,2922
534,9410,1624
535,51538,1602
536,2170,1097
537,347735,1997
538,149086,1199
539,284551,2741
540,64129,2237
541,3061,2001
542,553115,2217
543,1307,5584
544,576,5415
545,100423028,76
546,90853,3888
547,8073,3929
548,100507229,1574
549,10657,2685
550,55116,1818
551,23633,7373
552,200081,4796
553,79140,877
554,55721,2293
555,149069,1349
556,100507457,919
557,56063,1082
558,8668,1458
559,339483,2324
560,84734,956
561,3932,2233
562,3065,2091
563,65108,1546
564,100128071,699
565,81629,1317
566,55108,2910
567,728116,4019
568,653121,7333
569,339487,717
570,5928,8018
571,81493,3493
572,57648,5412
573,8565,3117
574,64766,4526
575,252995,3184
576,3208,1406
577,113452,993
578,127544,2606
579,100505584,186
580,204,3831
